Time, ProductionCenter, WorkersCount, BufferCount
0.0, Производственный центр №1, 2, 498
0.0, Производственный центр №2, 0, 0
0.0, Производственный центр №3, 0, 0
0.0, Производственный центр №4, 0, 0
0.0, Производственный центр №5, 0, 0
1.0, Производственный центр №1, 2, 498
1.0, Производственный центр №2, 0, 0
1.0, Производственный центр №3, 0, 0
1.0, Производственный центр №4, 0, 0
1.0, Производственный центр №5, 0, 0
2.0, Производственный центр №1, 2, 498
2.0, Производственный центр №2, 0, 0
2.0, Производственный центр №3, 0, 0
2.0, Производственный центр №4, 0, 0
2.0, Производственный центр №5, 0, 0
3.0, Производственный центр №1, 2, 496
3.0, Производственный центр №2, 1, 0
3.0, Производственный центр №3, 0, 0
3.0, Производственный центр №4, 0, 1
3.0, Производственный центр №5, 0, 0
4.0, Производственный центр №1, 2, 496
4.0, Производственный центр №2, 1, 0
4.0, Производственный центр №3, 0, 0
4.0, Производственный центр №4, 0, 1
4.0, Производственный центр №5, 0, 0
5.0, Производственный центр №1, 2, 494
5.0, Производственный центр №2, 1, 1
5.0, Производственный центр №3, 0, 0
5.0, Производственный центр №4, 0, 2
5.0, Производственный центр №5, 0, 0
6.0, Производственный центр №1, 2, 494
6.0, Производственный центр №2, 1, 0
6.0, Производственный центр №3, 0, 1
6.0, Производственный центр №4, 0, 2
6.0, Производственный центр №5, 0, 0
7.0, Производственный центр №1, 2, 492
7.0, Производственный центр №2, 1, 1
7.0, Производственный центр №3, 0, 1
7.0, Производственный центр №4, 0, 3
7.0, Производственный центр №5, 0, 0
8.0, Производственный центр №1, 2, 492
8.0, Производственный центр №2, 1, 1
8.0, Производственный центр №3, 0, 1
8.0, Производственный центр №4, 0, 3
8.0, Производственный центр №5, 0, 0
9.0, Производственный центр №1, 2, 490
9.0, Производственный центр №2, 1, 2
9.0, Производственный центр №3, 0, 1
9.0, Производственный центр №4, 0, 4
9.0, Производственный центр №5, 0, 0
10.0, Производственный центр №1, 2, 490
10.0, Производственный центр №2, 1, 1
10.0, Производственный центр №3, 0, 2
10.0, Производственный центр №4, 0, 4
10.0, Производственный центр №5, 0, 0
11.0, Производственный центр №1, 2, 488
11.0, Производственный центр №2, 1, 2
11.0, Производственный центр №3, 0, 2
11.0, Производственный центр №4, 0, 5
11.0, Производственный центр №5, 0, 0
12.0, Производственный центр №1, 2, 488
12.0, Производственный центр №2, 1, 2
12.0, Производственный центр №3, 0, 2
12.0, Производственный центр №4, 0, 5
12.0, Производственный центр №5, 0, 0
13.0, Производственный центр №1, 2, 488
13.0, Производственный центр №2, 1, 1
13.0, Производственный центр №3, 0, 3
13.0, Производственный центр №4, 0, 5
13.0, Производственный центр №5, 0, 0
14.0, Производственный центр №1, 2, 486
14.0, Производственный центр №2, 1, 2
14.0, Производственный центр №3, 0, 3
14.0, Производственный центр №4, 0, 6
14.0, Производственный центр №5, 0, 0
15.0, Производственный центр №1, 2, 486
15.0, Производственный центр №2, 1, 2
15.0, Производственный центр №3, 0, 3
15.0, Производственный центр №4, 0, 6
15.0, Производственный центр №5, 0, 0
16.0, Производственный центр №1, 2, 484
16.0, Производственный центр №2, 1, 3
16.0, Производственный центр №3, 0, 3
16.0, Производственный центр №4, 0, 7
16.0, Производственный центр №5, 0, 0
17.0, Производственный центр №1, 2, 484
17.0, Производственный центр №2, 1, 2
17.0, Производственный центр №3, 0, 4
17.0, Производственный центр №4, 0, 7
17.0, Производственный центр №5, 0, 0
18.0, Производственный центр №1, 2, 482
18.0, Производственный центр №2, 1, 3
18.0, Производственный центр №3, 0, 4
18.0, Производственный центр №4, 0, 8
18.0, Производственный центр №5, 0, 0
19.0, Производственный центр №1, 2, 482
19.0, Производственный центр №2, 1, 3
19.0, Производственный центр №3, 0, 4
19.0, Производственный центр №4, 0, 8
19.0, Производственный центр №5, 0, 0
20.0, Производственный центр №1, 2, 480
20.0, Производственный центр №2, 1, 3
20.0, Производственный центр №3, 0, 5
20.0, Производственный центр №4, 0, 9
20.0, Производственный центр №5, 0, 0
21.0, Производственный центр №1, 2, 480
21.0, Производственный центр №2, 1, 3
21.0, Производственный центр №3, 0, 5
21.0, Производственный центр №4, 0, 9
21.0, Производственный центр №5, 0, 0
22.0, Производственный центр №1, 2, 478
22.0, Производственный центр №2, 1, 4
22.0, Производственный центр №3, 0, 5
22.0, Производственный центр №4, 0, 10
22.0, Производственный центр №5, 0, 0
23.0, Производственный центр №1, 2, 478
23.0, Производственный центр №2, 1, 4
23.0, Производственный центр №3, 0, 5
23.0, Производственный центр №4, 0, 10
23.0, Производственный центр №5, 0, 0
24.0, Производственный центр №1, 2, 478
24.0, Производственный центр №2, 1, 3
24.0, Производственный центр №3, 0, 6
24.0, Производственный центр №4, 0, 10
24.0, Производственный центр №5, 0, 0
25.0, Производственный центр №1, 2, 476
25.0, Производственный центр №2, 1, 4
25.0, Производственный центр №3, 0, 6
25.0, Производственный центр №4, 0, 11
25.0, Производственный центр №5, 0, 0
26.0, Производственный центр №1, 2, 476
26.0, Производственный центр №2, 1, 4
26.0, Производственный центр №3, 0, 6
26.0, Производственный центр №4, 0, 11
26.0, Производственный центр №5, 0, 0
27.0, Производственный центр №1, 2, 474
27.0, Производственный центр №2, 1, 4
27.0, Производственный центр №3, 0, 7
27.0, Производственный центр №4, 0, 12
27.0, Производственный центр №5, 0, 0
28.0, Производственный центр №1, 2, 474
28.0, Производственный центр №2, 1, 4
28.0, Производственный центр №3, 0, 7
28.0, Производственный центр №4, 0, 12
28.0, Производственный центр №5, 0, 0
29.0, Производственный центр №1, 2, 472
29.0, Производственный центр №2, 1, 5
29.0, Производственный центр №3, 0, 7
29.0, Производственный центр №4, 0, 13
29.0, Производственный центр №5, 0, 0
30.0, Производственный центр №1, 2, 472
30.0, Производственный центр №2, 1, 5
30.0, Производственный центр №3, 0, 7
30.0, Производственный центр №4, 0, 13
30.0, Производственный центр №5, 0, 0
31.0, Производственный центр №1, 2, 470
31.0, Производственный центр №2, 1, 5
31.0, Производственный центр №3, 0, 8
31.0, Производственный центр №4, 0, 14
31.0, Производственный центр №5, 0, 0
32.0, Производственный центр №1, 2, 470
32.0, Производственный центр №2, 1, 5
32.0, Производственный центр №3, 0, 8
32.0, Производственный центр №4, 0, 14
32.0, Производственный центр №5, 0, 0
33.0, Производственный центр №1, 2, 468
33.0, Производственный центр №2, 1, 6
33.0, Производственный центр №3, 0, 8
33.0, Производственный центр №4, 0, 15
33.0, Производственный центр №5, 0, 0
34.0, Производственный центр №1, 2, 468
34.0, Производственный центр №2, 1, 5
34.0, Производственный центр №3, 0, 9
34.0, Производственный центр №4, 0, 15
34.0, Производственный центр №5, 0, 0
35.0, Производственный центр №1, 2, 468
35.0, Производственный центр №2, 1, 5
35.0, Производственный центр №3, 0, 9
35.0, Производственный центр №4, 0, 15
35.0, Производственный центр №5, 0, 0
36.0, Производственный центр №1, 2, 466
36.0, Производственный центр №2, 1, 6
36.0, Производственный центр №3, 0, 9
36.0, Производственный центр №4, 0, 16
36.0, Производственный центр №5, 0, 0
37.0, Производственный центр №1, 2, 466
37.0, Производственный центр №2, 1, 6
37.0, Производственный центр №3, 0, 9
37.0, Производственный центр №4, 0, 16
37.0, Производственный центр №5, 0, 0
38.0, Производственный центр №1, 2, 464
38.0, Производственный центр №2, 1, 6
38.0, Производственный центр №3, 0, 10
38.0, Производственный центр №4, 0, 17
38.0, Производственный центр №5, 0, 0
39.0, Производственный центр №1, 2, 464
39.0, Производственный центр №2, 1, 6
39.0, Производственный центр №3, 0, 10
39.0, Производственный центр №4, 0, 17
39.0, Производственный центр №5, 0, 0
40.0, Производственный центр №1, 2, 462
40.0, Производственный центр №2, 1, 7
40.0, Производственный центр №3, 0, 10
40.0, Производственный центр №4, 0, 18
40.0, Производственный центр №5, 0, 0
41.0, Производственный центр №1, 2, 462
41.0, Производственный центр №2, 1, 6
41.0, Производственный центр №3, 0, 11
41.0, Производственный центр №4, 0, 18
41.0, Производственный центр №5, 0, 0
42.0, Производственный центр №1, 2, 460
42.0, Производственный центр №2, 1, 7
42.0, Производственный центр №3, 0, 11
42.0, Производственный центр №4, 0, 19
42.0, Производственный центр №5, 0, 0
43.0, Производственный центр №1, 2, 460
43.0, Производственный центр №2, 1, 7
43.0, Производственный центр №3, 0, 11
43.0, Производственный центр №4, 0, 19
43.0, Производственный центр №5, 0, 0
44.0, Производственный центр №1, 2, 458
44.0, Производственный центр №2, 1, 8
44.0, Производственный центр №3, 0, 11
44.0, Производственный центр №4, 0, 20
44.0, Производственный центр №5, 0, 0
45.0, Производственный центр №1, 2, 458
45.0, Производственный центр №2, 1, 7
45.0, Производственный центр №3, 0, 12
45.0, Производственный центр №4, 0, 20
45.0, Производственный центр №5, 0, 0
46.0, Производственный центр №1, 2, 458
46.0, Производственный центр №2, 1, 7
46.0, Производственный центр №3, 0, 12
46.0, Производственный центр №4, 0, 20
46.0, Производственный центр №5, 0, 0
47.0, Производственный центр №1, 2, 456
47.0, Производственный центр №2, 1, 8
47.0, Производственный центр №3, 0, 12
47.0, Производственный центр №4, 0, 21
47.0, Производственный центр №5, 0, 0
48.0, Производственный центр №1, 2, 456
48.0, Производственный центр №2, 1, 7
48.0, Производственный центр №3, 0, 13
48.0, Производственный центр №4, 0, 21
48.0, Производственный центр №5, 0, 0
49.0, Производственный центр №1, 2, 454
49.0, Производственный центр №2, 1, 8
49.0, Производственный центр №3, 0, 13
49.0, Производственный центр №4, 0, 22
49.0, Производственный центр №5, 0, 0
50.0, Производственный центр №1, 2, 454
50.0, Производственный центр №2, 1, 8
50.0, Производственный центр №3, 0, 13
50.0, Производственный центр №4, 0, 22
50.0, Производственный центр №5, 0, 0
51.0, Производственный центр №1, 2, 452
51.0, Производственный центр №2, 1, 9
51.0, Производственный центр №3, 0, 13
51.0, Производственный центр №4, 0, 23
51.0, Производственный центр №5, 0, 0
52.0, Производственный центр №1, 2, 452
52.0, Производственный центр №2, 1, 8
52.0, Производственный центр №3, 0, 14
52.0, Производственный центр №4, 0, 23
52.0, Производственный центр №5, 0, 0
53.0, Производственный центр №1, 2, 450
53.0, Производственный центр №2, 1, 9
53.0, Производственный центр №3, 0, 14
53.0, Производственный центр №4, 0, 24
53.0, Производственный центр №5, 0, 0
54.0, Производственный центр №1, 2, 450
54.0, Производственный центр №2, 1, 9
54.0, Производственный центр №3, 0, 14
54.0, Производственный центр №4, 0, 24
54.0, Производственный центр №5, 0, 0
55.0, Производственный центр №1, 2, 448
55.0, Производственный центр №2, 1, 9
55.0, Производственный центр №3, 0, 15
55.0, Производственный центр №4, 0, 25
55.0, Производственный центр №5, 0, 0
56.0, Производственный центр №1, 2, 448
56.0, Производственный центр №2, 1, 9
56.0, Производственный центр №3, 0, 15
56.0, Производственный центр №4, 0, 25
56.0, Производственный центр №5, 0, 0
57.0, Производственный центр №1, 2, 448
57.0, Производственный центр №2, 1, 9
57.0, Производственный центр №3, 0, 15
57.0, Производственный центр №4, 0, 25
57.0, Производственный центр №5, 0, 0
58.0, Производственный центр №1, 2, 446
58.0, Производственный центр №2, 1, 10
58.0, Производственный центр №3, 0, 15
58.0, Производственный центр №4, 0, 26
58.0, Производственный центр №5, 0, 0
59.0, Производственный центр №1, 2, 446
59.0, Производственный центр №2, 1, 9
59.0, Производственный центр №3, 0, 16
59.0, Производственный центр №4, 0, 26
59.0, Производственный центр №5, 0, 0
60.0, Производственный центр №1, 2, 444
60.0, Производственный центр №2, 1, 10
60.0, Производственный центр №3, 0, 16
60.0, Производственный центр №4, 0, 27
60.0, Производственный центр №5, 0, 0
61.0, Производственный центр №1, 2, 444
61.0, Производственный центр №2, 1, 10
61.0, Производственный центр №3, 0, 16
61.0, Производственный центр №4, 0, 27
61.0, Производственный центр №5, 0, 0
62.0, Производственный центр №1, 2, 442
62.0, Производственный центр №2, 1, 10
62.0, Производственный центр №3, 0, 17
62.0, Производственный центр №4, 0, 28
62.0, Производственный центр №5, 0, 0
63.0, Производственный центр №1, 2, 442
63.0, Производственный центр №2, 1, 10
63.0, Производственный центр №3, 0, 17
63.0, Производственный центр №4, 0, 28
63.0, Производственный центр №5, 0, 0
64.0, Производственный центр №1, 2, 440
64.0, Производственный центр №2, 1, 11
64.0, Производственный центр №3, 0, 17
64.0, Производственный центр №4, 0, 29
64.0, Производственный центр №5, 0, 0
65.0, Производственный центр №1, 2, 440
65.0, Производственный центр №2, 1, 11
65.0, Производственный центр №3, 0, 17
65.0, Производственный центр №4, 0, 29
65.0, Производственный центр №5, 0, 0
66.0, Производственный центр №1, 2, 438
66.0, Производственный центр №2, 1, 11
66.0, Производственный центр №3, 0, 18
66.0, Производственный центр №4, 0, 30
66.0, Производственный центр №5, 0, 0
67.0, Производственный центр №1, 2, 438
67.0, Производственный центр №2, 1, 11
67.0, Производственный центр №3, 0, 18
67.0, Производственный центр №4, 0, 30
67.0, Производственный центр №5, 0, 0
68.0, Производственный центр №1, 2, 438
68.0, Производственный центр №2, 1, 11
68.0, Производственный центр №3, 0, 18
68.0, Производственный центр №4, 0, 30
68.0, Производственный центр №5, 0, 0
69.0, Производственный центр №1, 2, 436
69.0, Производственный центр №2, 1, 11
69.0, Производственный центр №3, 0, 19
69.0, Производственный центр №4, 0, 31
69.0, Производственный центр №5, 0, 0
70.0, Производственный центр №1, 2, 436
70.0, Производственный центр №2, 1, 11
70.0, Производственный центр №3, 0, 19
70.0, Производственный центр №4, 0, 31
70.0, Производственный центр №5, 0, 0
71.0, Производственный центр №1, 2, 434
71.0, Производственный центр №2, 1, 12
71.0, Производственный центр №3, 0, 19
71.0, Производственный центр №4, 0, 32
71.0, Производственный центр №5, 0, 0
72.0, Производственный центр №1, 2, 434
72.0, Производственный центр №2, 1, 12
72.0, Производственный центр №3, 0, 19
72.0, Производственный центр №4, 0, 32
72.0, Производственный центр №5, 0, 0
73.0, Производственный центр №1, 2, 432
73.0, Производственный центр №2, 1, 12
73.0, Производственный центр №3, 0, 20
73.0, Производственный центр №4, 0, 33
73.0, Производственный центр №5, 0, 0
74.0, Производственный центр №1, 2, 432
74.0, Производственный центр №2, 1, 12
74.0, Производственный центр №3, 0, 20
74.0, Производственный центр №4, 0, 33
74.0, Производственный центр №5, 0, 0
75.0, Производственный центр №1, 2, 430
75.0, Производственный центр №2, 1, 13
75.0, Производственный центр №3, 0, 20
75.0, Производственный центр №4, 0, 34
75.0, Производственный центр №5, 0, 0
76.0, Производственный центр №1, 2, 430
76.0, Производственный центр №2, 1, 12
76.0, Производственный центр №3, 0, 21
76.0, Производственный центр №4, 0, 34
76.0, Производственный центр №5, 0, 0
77.0, Производственный центр №1, 2, 428
77.0, Производственный центр №2, 1, 13
77.0, Производственный центр №3, 0, 21
77.0, Производственный центр №4, 0, 35
77.0, Производственный центр №5, 0, 0
78.0, Производственный центр №1, 2, 428
78.0, Производственный центр №2, 1, 13
78.0, Производственный центр №3, 0, 21
78.0, Производственный центр №4, 0, 35
78.0, Производственный центр №5, 0, 0
79.0, Производственный центр №1, 2, 428
79.0, Производственный центр №2, 1, 13
79.0, Производственный центр №3, 0, 21
79.0, Производственный центр №4, 0, 35
79.0, Производственный центр №5, 0, 0
80.0, Производственный центр №1, 2, 426
80.0, Производственный центр №2, 1, 13
80.0, Производственный центр №3, 0, 22
80.0, Производственный центр №4, 0, 36
80.0, Производственный центр №5, 0, 0
81.0, Производственный центр №1, 2, 426
81.0, Производственный центр №2, 1, 13
81.0, Производственный центр №3, 0, 22
81.0, Производственный центр №4, 0, 36
81.0, Производственный центр №5, 0, 0
82.0, Производственный центр №1, 2, 424
82.0, Производственный центр №2, 1, 14
82.0, Производственный центр №3, 0, 22
82.0, Производственный центр №4, 0, 37
82.0, Производственный центр №5, 0, 0
83.0, Производственный центр №1, 2, 424
83.0, Производственный центр №2, 1, 13
83.0, Производственный центр №3, 0, 23
83.0, Производственный центр №4, 0, 37
83.0, Производственный центр №5, 0, 0
84.0, Производственный центр №1, 2, 422
84.0, Производственный центр №2, 1, 14
84.0, Производственный центр №3, 0, 23
84.0, Производственный центр №4, 0, 38
84.0, Производственный центр №5, 0, 0
85.0, Производственный центр №1, 2, 422
85.0, Производственный центр №2, 1, 14
85.0, Производственный центр №3, 0, 23
85.0, Производственный центр №4, 0, 38
85.0, Производственный центр №5, 0, 0
86.0, Производственный центр №1, 2, 420
86.0, Производственный центр №2, 1, 15
86.0, Производственный центр №3, 0, 23
86.0, Производственный центр №4, 0, 39
86.0, Производственный центр №5, 0, 0
87.0, Производственный центр №1, 2, 420
87.0, Производственный центр №2, 1, 14
87.0, Производственный центр №3, 0, 24
87.0, Производственный центр №4, 0, 39
87.0, Производственный центр №5, 0, 0
88.0, Производственный центр №1, 2, 418
88.0, Производственный центр №2, 1, 15
88.0, Производственный центр №3, 0, 24
88.0, Производственный центр №4, 0, 40
88.0, Производственный центр №5, 0, 0
89.0, Производственный центр №1, 2, 418
89.0, Производственный центр №2, 1, 15
89.0, Производственный центр №3, 0, 24
89.0, Производственный центр №4, 0, 40
89.0, Производственный центр №5, 0, 0
90.0, Производственный центр №1, 2, 418
90.0, Производственный центр №2, 1, 14
90.0, Производственный центр №3, 0, 25
90.0, Производственный центр №4, 0, 40
90.0, Производственный центр №5, 0, 0
91.0, Производственный центр №1, 2, 416
91.0, Производственный центр №2, 1, 15
91.0, Производственный центр №3, 0, 25
91.0, Производственный центр №4, 0, 41
91.0, Производственный центр №5, 0, 0
92.0, Производственный центр №1, 2, 416
92.0, Производственный центр №2, 1, 15
92.0, Производственный центр №3, 0, 25
92.0, Производственный центр №4, 0, 41
92.0, Производственный центр №5, 0, 0
93.0, Производственный центр №1, 2, 414
93.0, Производственный центр №2, 1, 16
93.0, Производственный центр №3, 0, 25
93.0, Производственный центр №4, 0, 42
93.0, Производственный центр №5, 0, 0
94.0, Производственный центр №1, 2, 414
94.0, Производственный центр №2, 1, 15
94.0, Производственный центр №3, 0, 26
94.0, Производственный центр №4, 0, 42
94.0, Производственный центр №5, 0, 0
95.0, Производственный центр №1, 2, 412
95.0, Производственный центр №2, 1, 16
95.0, Производственный центр №3, 0, 26
95.0, Производственный центр №4, 0, 43
95.0, Производственный центр №5, 0, 0
96.0, Производственный центр №1, 2, 412
96.0, Производственный центр №2, 1, 16
96.0, Производственный центр №3, 0, 26
96.0, Производственный центр №4, 0, 43
96.0, Производственный центр №5, 0, 0
97.0, Производственный центр №1, 2, 410
97.0, Производственный центр №2, 1, 16
97.0, Производственный центр №3, 0, 27
97.0, Производственный центр №4, 0, 44
97.0, Производственный центр №5, 0, 0
98.0, Производственный центр №1, 2, 410
98.0, Производственный центр №2, 1, 16
98.0, Производственный центр №3, 0, 27
98.0, Производственный центр №4, 0, 44
98.0, Производственный центр №5, 0, 0
99.0, Производственный центр №1, 2, 408
99.0, Производственный центр №2, 1, 17
99.0, Производственный центр №3, 0, 27
99.0, Производственный центр №4, 0, 45
99.0, Производственный центр №5, 0, 0
100.0, Производственный центр №1, 2, 408
100.0, Производственный центр №2, 1, 17
100.0, Производственный центр №3, 0, 27
100.0, Производственный центр №4, 0, 45
100.0, Производственный центр №5, 0, 0
101.0, Производственный центр №1, 2, 408
101.0, Производственный центр №2, 1, 16
101.0, Производственный центр №3, 0, 28
101.0, Производственный центр №4, 0, 45
101.0, Производственный центр №5, 0, 0
102.0, Производственный центр №1, 2, 406
102.0, Производственный центр №2, 1, 17
102.0, Производственный центр №3, 0, 28
102.0, Производственный центр №4, 0, 46
102.0, Производственный центр №5, 0, 0
103.0, Производственный центр №1, 2, 406
103.0, Производственный центр №2, 1, 17
103.0, Производственный центр №3, 0, 28
103.0, Производственный центр №4, 0, 46
103.0, Производственный центр №5, 0, 0
104.0, Производственный центр №1, 2, 404
104.0, Производственный центр №2, 1, 17
104.0, Производственный центр №3, 0, 29
104.0, Производственный центр №4, 0, 47
104.0, Производственный центр №5, 0, 0
105.0, Производственный центр №1, 2, 404
105.0, Производственный центр №2, 1, 17
105.0, Производственный центр №3, 0, 29
105.0, Производственный центр №4, 0, 47
105.0, Производственный центр №5, 0, 0
106.0, Производственный центр №1, 2, 402
106.0, Производственный центр №2, 1, 18
106.0, Производственный центр №3, 0, 29
106.0, Производственный центр №4, 0, 48
106.0, Производственный центр №5, 0, 0
107.0, Производственный центр №1, 2, 402
107.0, Производственный центр №2, 1, 18
107.0, Производственный центр №3, 0, 29
107.0, Производственный центр №4, 0, 48
107.0, Производственный центр №5, 0, 0
108.0, Производственный центр №1, 2, 400
108.0, Производственный центр №2, 1, 18
108.0, Производственный центр №3, 0, 30
108.0, Производственный центр №4, 0, 49
108.0, Производственный центр №5, 0, 0
109.0, Производственный центр №1, 2, 400
109.0, Производственный центр №2, 1, 18
109.0, Производственный центр №3, 0, 30
109.0, Производственный центр №4, 0, 49
109.0, Производственный центр №5, 0, 0
110.0, Производственный центр №1, 2, 398
110.0, Производственный центр №2, 1, 19
110.0, Производственный центр №3, 0, 30
110.0, Производственный центр №4, 0, 50
110.0, Производственный центр №5, 0, 0
111.0, Производственный центр №1, 2, 398
111.0, Производственный центр №2, 1, 18
111.0, Производственный центр №3, 0, 31
111.0, Производственный центр №4, 0, 50
111.0, Производственный центр №5, 0, 0
112.0, Производственный центр №1, 2, 398
112.0, Производственный центр №2, 1, 18
112.0, Производственный центр №3, 0, 31
112.0, Производственный центр №4, 0, 50
112.0, Производственный центр №5, 0, 0
113.0, Производственный центр №1, 2, 396
113.0, Производственный центр №2, 1, 19
113.0, Производственный центр №3, 0, 31
113.0, Производственный центр №4, 0, 51
113.0, Производственный центр №5, 0, 0
114.0, Производственный центр №1, 2, 396
114.0, Производственный центр №2, 1, 19
114.0, Производственный центр №3, 0, 31
114.0, Производственный центр №4, 0, 51
114.0, Производственный центр №5, 0, 0
115.0, Производственный центр №1, 2, 394
115.0, Производственный центр №2, 1, 19
115.0, Производственный центр №3, 0, 32
115.0, Производственный центр №4, 0, 52
115.0, Производственный центр №5, 0, 0
116.0, Производственный центр №1, 2, 394
116.0, Производственный центр №2, 1, 19
116.0, Производственный центр №3, 0, 32
116.0, Производственный центр №4, 0, 52
116.0, Производственный центр №5, 0, 0
117.0, Производственный центр №1, 2, 392
117.0, Производственный центр №2, 1, 20
117.0, Производственный центр №3, 0, 32
117.0, Производственный центр №4, 0, 53
117.0, Производственный центр №5, 0, 0
118.0, Производственный центр №1, 2, 392
118.0, Производственный центр №2, 1, 19
118.0, Производственный центр №3, 0, 33
118.0, Производственный центр №4, 0, 53
118.0, Производственный центр №5, 0, 0
119.0, Производственный центр №1, 2, 390
119.0, Производственный центр №2, 1, 20
119.0, Производственный центр №3, 0, 33
119.0, Производственный центр №4, 0, 54
119.0, Производственный центр №5, 0, 0
120.0, Производственный центр №1, 2, 390
120.0, Производственный центр №2, 1, 20
120.0, Производственный центр №3, 0, 33
120.0, Производственный центр №4, 0, 54
120.0, Производственный центр №5, 0, 0
121.0, Производственный центр №1, 2, 388
121.0, Производственный центр №2, 1, 21
121.0, Производственный центр №3, 0, 33
121.0, Производственный центр №4, 0, 55
121.0, Производственный центр №5, 0, 0
122.0, Производственный центр №1, 2, 388
122.0, Производственный центр №2, 1, 20
122.0, Производственный центр №3, 0, 34
122.0, Производственный центр №4, 0, 55
122.0, Производственный центр №5, 0, 0
123.0, Производственный центр №1, 2, 388
123.0, Производственный центр №2, 1, 20
123.0, Производственный центр №3, 0, 34
123.0, Производственный центр №4, 0, 55
123.0, Производственный центр №5, 0, 0
124.0, Производственный центр №1, 2, 386
124.0, Производственный центр №2, 1, 21
124.0, Производственный центр №3, 0, 34
124.0, Производственный центр №4, 0, 56
124.0, Производственный центр №5, 0, 0
125.0, Производственный центр №1, 2, 386
125.0, Производственный центр №2, 1, 20
125.0, Производственный центр №3, 0, 35
125.0, Производственный центр №4, 0, 56
125.0, Производственный центр №5, 0, 0
126.0, Производственный центр №1, 2, 384
126.0, Производственный центр №2, 1, 21
126.0, Производственный центр №3, 0, 35
126.0, Производственный центр №4, 0, 57
126.0, Производственный центр №5, 0, 0
127.0, Производственный центр №1, 2, 384
127.0, Производственный центр №2, 1, 21
127.0, Производственный центр №3, 0, 35
127.0, Производственный центр №4, 0, 57
127.0, Производственный центр №5, 0, 0
128.0, Производственный центр №1, 2, 382
128.0, Производственный центр №2, 1, 22
128.0, Производственный центр №3, 0, 35
128.0, Производственный центр №4, 0, 58
128.0, Производственный центр №5, 0, 0
129.0, Производственный центр №1, 2, 382
129.0, Производственный центр №2, 1, 21
129.0, Производственный центр №3, 0, 36
129.0, Производственный центр №4, 0, 58
129.0, Производственный центр №5, 0, 0
130.0, Производственный центр №1, 2, 380
130.0, Производственный центр №2, 1, 22
130.0, Производственный центр №3, 0, 36
130.0, Производственный центр №4, 0, 59
130.0, Производственный центр №5, 0, 0
131.0, Производственный центр №1, 2, 380
131.0, Производственный центр №2, 1, 22
131.0, Производственный центр №3, 0, 36
131.0, Производственный центр №4, 0, 59
131.0, Производственный центр №5, 0, 0
132.0, Производственный центр №1, 2, 378
132.0, Производственный центр №2, 1, 22
132.0, Производственный центр №3, 0, 37
132.0, Производственный центр №4, 0, 60
132.0, Производственный центр №5, 0, 0
133.0, Производственный центр №1, 2, 378
133.0, Производственный центр №2, 1, 22
133.0, Производственный центр №3, 0, 37
133.0, Производственный центр №4, 0, 60
133.0, Производственный центр №5, 0, 0
134.0, Производственный центр №1, 2, 378
134.0, Производственный центр №2, 1, 22
134.0, Производственный центр №3, 0, 37
134.0, Производственный центр №4, 0, 60
134.0, Производственный центр №5, 0, 0
135.0, Производственный центр №1, 2, 376
135.0, Производственный центр №2, 1, 23
135.0, Производственный центр №3, 0, 37
135.0, Производственный центр №4, 0, 61
135.0, Производственный центр №5, 0, 0
136.0, Производственный центр №1, 2, 376
136.0, Производственный центр №2, 1, 22
136.0, Производственный центр №3, 0, 38
136.0, Производственный центр №4, 0, 61
136.0, Производственный центр №5, 0, 0
137.0, Производственный центр №1, 2, 374
137.0, Производственный центр №2, 1, 23
137.0, Производственный центр №3, 0, 38
137.0, Производственный центр №4, 0, 62
137.0, Производственный центр №5, 0, 0
138.0, Производственный центр №1, 2, 374
138.0, Производственный центр №2, 1, 23
138.0, Производственный центр №3, 0, 38
138.0, Производственный центр №4, 0, 62
138.0, Производственный центр №5, 0, 0
139.0, Производственный центр №1, 2, 372
139.0, Производственный центр №2, 1, 23
139.0, Производственный центр №3, 0, 39
139.0, Производственный центр №4, 0, 63
139.0, Производственный центр №5, 0, 0
140.0, Производственный центр №1, 2, 372
140.0, Производственный центр №2, 1, 23
140.0, Производственный центр №3, 0, 39
140.0, Производственный центр №4, 0, 63
140.0, Производственный центр №5, 0, 0
141.0, Производственный центр №1, 2, 370
141.0, Производственный центр №2, 1, 24
141.0, Производственный центр №3, 0, 39
141.0, Производственный центр №4, 0, 64
141.0, Производственный центр №5, 0, 0
142.0, Производственный центр №1, 2, 370
142.0, Производственный центр №2, 1, 24
142.0, Производственный центр №3, 0, 39
142.0, Производственный центр №4, 0, 64
142.0, Производственный центр №5, 0, 0
143.0, Производственный центр №1, 2, 368
